Sort;URL;Original title;S;Creator(s);Genres;Start;End;Media;Storage;Video;E;Mins;Hours;Added;comment
Angel;Cal.;Angel;3;Joss Whedon, David Greenwalt;Drama | Fantasy;2001;2002;DVD;;;22;42;15,40;;Angel - Series 1-5 - Complete box set
Black Books;Cal.;Black Books;2;Dylan Moran / Graham Linehan;Comedy;2002;2002;Downloaded;external #1;DVDrip;6;25;2,50;;
Buffy the Vampire Slayer;Cal.;Buffy the Vampire Slayer;6;Joss Whedon;Drama | Fantasy;2001;2002;Downloaded;external #1;Low / Decent;22;43,5;15,95;;
Firefly;Cal.;Firefly;1;Joss Whedon;Action / Adventure / Drama / Sci-fi / Western;2002;2002;DVD;;;14;45;10,50;;
Firefly;Cal.;Firefly;1;Joss Whedon;Action / Adventure / Drama / Sci-fi / Western;2002;2002;Downloaded;external #1;HD 720P;15;45;11,25;;
Scrubs;Cal.;Scrubs;1;Bill Lawrence;Comedy | Drama;2001;2002;Downloaded;DELETED;Decent;24;22;8,80;;
Sopranos, The;Cal.;Sopranos, The;4;David Chase;Crime | Drama | Thriller;2002;2002;DVD;;;13;50;10,83;;
South Park;Cal.;South Park;6;Trey Parker, Matt Stone;Animation | Comedy;2002;2002;Downloaded;external #1;decent (varying size);17;22;6,23;;
Office (UK);Cal.;The Office (UK);2;Ricky Gervais/Stephen Merchant;Comedy | Drama;2002;2002;Downloaded;external #1;DVDrip;6;30;3,00;;
West Wing;Cal.;The West Wing;3;Aaron Sorkin;Drama;2001;2002;Downloaded;T:\TV\;DVDrip;21;42;14,70;;
Wire;Cal.;The Wire;1;David Simon;Crime | Drama;2002;2002;Downloaded;external #1;Decent;13;55;11,92;;dvdrip from tvtorrents.com
X-Files;Cal.;The X-Files;9;Chris Carter;Drama | Horror | Mystery | Sci-Fi | Thriller;2001;2002;Downloaded;external #1;h.264 .mp4 720x400 DVDrip;20;43;14,33;;
24;Cal.;24;2;Robert Cochran, Joel Surnow;Action | Crime | Drama | Mystery | Thriller;2002;2003;DVD;;;24;43;17,20;;
